Time_ns,Coherence,Sigma_x,Sigma_y,Sigma_z,Threshold
75.8759,0.000347,0.000347,0.0,0.531753,0.367879
76.0761,0.00034,0.00034,0.0,0.532689,0.367879
76.2763,0.000332,0.000332,0.0,0.533624,0.367879
76.4765,0.000326,0.000326,0.0,0.534557,0.367879
76.6767,0.000319,0.000319,0.0,0.535487,0.367879
76.8769,0.000312,0.000312,0.0,0.536417,0.367879
77.0771,0.000306,0.000306,0.0,0.537344,0.367879
77.2773,0.000299,0.000299,0.0,0.538269,0.367879
77.4775,0.000293,0.000293,0.0,0.539192,0.367879
77.6777,0.000287,0.000287,0.0,0.540114,0.367879
77.8779,0.000281,0.000281,0.0,0.541034,0.367879
78.0781,0.000275,0.000275,0.0,0.541952,0.367879
78.2783,0.000269,0.000269,0.0,0.542868,0.367879
78.4785,0.000264,0.000264,0.0,0.543782,0.367879
78.6787,0.000258,0.000258,0.0,0.544695,0.367879
78.8789,0.000253,0.000253,0.0,0.545605,0.367879
79.0791,0.000248,0.000248,0.0,0.546514,0.367879
79.2793,0.000243,0.000243,0.0,0.547421,0.367879
79.4795,0.000238,0.000238,0.0,0.548326,0.367879
79.6797,0.000233,0.000233,0.0,0.549229,0.367879
79.8799,0.000228,0.000228,0.0,0.550131,0.367879
80.0801,0.000223,0.000223,0.0,0.551031,0.367879
80.2803,0.000218,0.000218,0.0,0.551929,0.367879
80.4805,0.000214,0.000214,0.0,0.552825,0.367879
80.6807,0.000209,0.000209,0.0,0.553719,0.367879
80.8809,0.000205,0.000205,0.0,0.554612,0.367879
81.0811,0.000201,0.000201,0.0,0.555502,0.367879
81.2813,0.000197,0.000197,0.0,0.556391,0.367879
81.4815,0.000192,0.000192,0.0,0.557279,0.367879
81.6817,0.000188,0.000188,0.0,0.558164,0.367879
81.8819,0.000185,0.000185,0.0,0.559048,0.367879
82.0821,0.000181,0.000181,0.0,0.55993,0.367879
82.2823,0.000177,0.000177,0.0,0.56081,0.367879
82.4825,0.000173,0.000173,0.0,0.561688,0.367879
82.6827,0.00017,0.00017,0.0,0.562565,0.367879
82.8829,0.000166,0.000166,0.0,0.56344,0.367879
