Sim_ID,Mass_kg,E_grav_J,T_OR_s,T_OR_us,Quantum_OR
156,7.8588e-15,2.5763e-31,4.0934e-04,409.3361,False
157,3.0634e-13,3.9148e-28,2.6938e-07,0.2694,True
158,6.5646e-13,1.7976e-27,5.8664e-08,0.0587,True
159,7.5686e-15,2.3895e-31,4.4133e-04,441.3286,False
160,4.9391e-13,1.0176e-27,1.0363e-07,0.1036,True
161,2.2931e-14,2.1934e-30,4.8079e-05,48.0787,True
162,2.1821e-13,1.9863e-28,5.3092e-07,0.5309,True
163,2.2050e-13,2.0282e-28,5.1997e-07,0.52,True
164,9.5899e-14,3.8363e-29,2.7489e-06,2.7489,True
165,2.1576e-15,1.9420e-32,5.4304e-03,5430.4036,False
166,1.2296e-12,6.3067e-27,1.6721e-08,0.0167,True
167,1.5366e-14,9.8491e-31,1.0707e-04,107.0727,False
168,4.8970e-15,1.0003e-31,1.0542e-03,1054.2356,False
169,1.4152e-15,8.3548e-33,1.2622e-02,12622.296,False
170,1.5335e-13,9.8102e-29,1.0750e-06,1.075,True
171,3.2084e-13,4.2940e-28,2.4559e-07,0.2456,True
172,1.1517e-15,5.5335e-33,1.9058e-02,19057.8827,False
173,7.8382e-14,2.5628e-29,4.1149e-06,4.1149,True
174,6.8834e-15,1.9765e-31,5.3357e-04,533.5661,False
175,2.4349e-13,2.4731e-28,4.2642e-07,0.4264,True
176,4.4155e-15,8.1328e-32,1.2967e-03,1296.6956,False
177,3.5955e-13,5.3926e-28,1.9556e-07,0.1956,True
178,2.6948e-14,3.0292e-30,3.4813e-05,34.8133,True
179,2.9170e-12,3.5494e-26,2.9711e-09,0.003,True
180,3.2262e-15,4.3417e-32,2.4290e-03,2428.9508,False
181,1.8264e-14,1.3915e-30,7.5788e-05,75.7883,True
182,2.6287e-15,2.8824e-32,3.6586e-03,3658.6436,False
183,2.6328e-12,2.8914e-26,3.6472e-09,0.0036,True
184,1.7589e-12,1.2906e-26,8.1712e-09,0.0082,True
185,8.9974e-15,3.3769e-31,3.1229e-04,312.2869,False
186,2.7622e-13,3.1828e-28,3.3134e-07,0.3313,True
187,1.0541e-12,4.6350e-27,2.2753e-08,0.0228,True
188,1.1315e-13,5.3411e-29,1.9745e-06,1.9745,True
189,9.1025e-14,3.4563e-29,3.0512e-06,3.0512,True
190,7.8452e-15,2.5674e-31,4.1075e-04,410.7539,False
191,2.2100e-15,2.0373e-32,5.1763e-03,5176.3272,False
192,2.0834e-12,1.8106e-26,5.8243e-09,0.0058,True
193,2.1410e-12,1.9122e-26,5.5151e-09,0.0055,True
194,2.1970e-13,2.0134e-28,5.2377e-07,0.5238,True
195,1.7950e-14,1.3440e-30,7.8464e-05,78.4636,True
196,1.9576e-14,1.5985e-30,6.5972e-05,65.9719,True
197,4.8449e-13,9.7918e-28,1.0770e-07,0.1077,True
198,2.0815e-12,1.8074e-26,5.8348e-09,0.0058,True
199,1.9112e-12,1.5237e-26,6.9212e-09,0.0069,True
200,7.6690e-13,2.4533e-27,4.2985e-08,0.043,True
201,2.3706e-13,2.3442e-28,4.4986e-07,0.4499,True
202,2.0475e-15,1.7488e-32,6.0301e-03,6030.1484,False
203,3.9615e-15,6.5464e-32,1.6109e-03,1610.9085,False
204,2.1073e-12,1.8524e-26,5.6930e-09,0.0057,True
205,1.7505e-13,1.2782e-28,8.2502e-07,0.825,True
206,1.0815e-15,4.8789e-33,2.1615e-02,21614.7978,False
207,2.3732e-15,2.3494e-32,4.4886e-03,4488.5909,False
208,2.8463e-13,3.3793e-28,3.1206e-07,0.3121,True
209,1.0441e-15,4.5471e-33,2.3192e-02,23192.3694,False
210,3.9339e-15,6.4556e-32,1.6336e-03,1633.5863,False
211,1.0709e-13,4.7839e-29,2.2044e-06,2.2044,True
212,3.6249e-13,5.4813e-28,1.9239e-07,0.1924,True
213,2.5798e-13,2.7762e-28,3.7986e-07,0.3799,True
214,6.7541e-15,1.9029e-31,5.5419e-04,554.1911,False
215,4.3085e-13,7.7436e-28,1.3619e-07,0.1362,True
216,7.5436e-15,2.3738e-31,4.4426e-04,444.2587,False
217,1.5982e-14,1.0655e-30,9.8970e-05,98.9699,True
218,5.7710e-13,1.3893e-27,7.5909e-08,0.0759,True
219,2.5291e-13,2.6683e-28,3.9523e-07,0.3952,True
220,1.3844e-12,7.9945e-27,1.3191e-08,0.0132,True
221,2.7070e-13,3.0568e-28,3.4499e-07,0.345,True
222,1.2652e-13,6.6773e-29,1.5793e-06,1.5793,True
223,2.2208e-15,2.0572e-32,5.1261e-03,5126.1357,False
224,2.2918e-14,2.1909e-30,4.8134e-05,48.1339,True
225,9.5714e-15,3.8215e-31,2.7596e-04,275.9556,False
226,7.9893e-15,2.6626e-31,3.9607e-04,396.0679,False
227,3.9732e-12,6.5851e-26,1.6015e-09,0.0016,True
228,2.8448e-14,3.3760e-30,3.1238e-05,31.2376,True
229,1.9937e-12,1.6580e-26,6.3604e-09,0.0064,True
230,2.1605e-13,1.9472e-28,5.4158e-07,0.5416,True
231,8.7093e-13,3.1641e-27,3.3329e-08,0.0333,True
232,7.2317e-14,2.1815e-29,4.8341e-06,4.8341,True
233,1.3613e-13,7.7301e-29,1.3642e-06,1.3642,True
234,6.6345e-14,1.8361e-29,5.7435e-06,5.7435,True
235,5.2747e-15,1.1606e-31,9.0865e-04,908.6455,False
236,4.7025e-13,9.2245e-28,1.1432e-07,0.1143,True
237,1.0929e-14,4.9822e-31,2.1167e-04,211.6671,False
238,1.2301e-15,6.3121e-33,1.6707e-02,16707.1492,False
239,2.4411e-13,2.4857e-28,4.2425e-07,0.4243,True
240,4.5199e-15,8.5220e-32,1.2375e-03,1237.4744,False
241,3.0111e-12,3.7822e-26,2.7883e-09,0.0028,True
242,3.3772e-12,4.7576e-26,2.2166e-09,0.0022,True
243,2.4213e-12,2.4457e-26,4.3120e-09,0.0043,True
244,2.3399e-14,2.2840e-30,4.6172e-05,46.172,True
245,1.1407e-15,5.4279e-33,1.9429e-02,19428.6798,False
246,2.7153e-12,3.0756e-26,3.4288e-09,0.0034,True
247,3.8357e-14,6.1371e-30,1.7183e-05,17.1834,True
248,3.7638e-12,5.9094e-26,1.7846e-09,0.0018,True
249,3.6678e-12,5.6116e-26,1.8793e-09,0.0019,True
250,1.4297e-12,8.5270e-27,1.2367e-08,0.0124,True
251,1.2279e-14,6.2893e-31,1.6768e-04,167.6776,False
252,2.6574e-14,2.9459e-30,3.5798e-05,35.7981,True
253,1.4071e-12,8.2593e-27,1.2768e-08,0.0128,True
254,1.4869e-14,9.2226e-31,1.1435e-04,114.3459,False
255,4.2359e-15,7.4848e-32,1.4089e-03,1408.9424,False
256,1.1471e-13,5.4887e-29,1.9214e-06,1.9214,True
257,2.9027e-12,3.5148e-26,3.0004e-09,0.003,True
258,3.7549e-13,5.8813e-28,1.7931e-07,0.1793,True
259,1.2842e-13,6.8796e-29,1.5329e-06,1.5329,True
260,2.2880e-15,2.1837e-32,4.8293e-03,4829.304,False
261,1.8832e-13,1.4794e-28,7.1286e-07,0.7129,True
262,4.5939e-12,8.8033e-26,1.1979e-09,0.0012,True
263,3.2974e-15,4.5354e-32,2.3252e-03,2325.1837,False
264,8.2658e-14,2.8501e-29,3.7001e-06,3.7001,True
265,1.7594e-12,1.2913e-26,8.1665e-09,0.0082,True
266,5.4964e-13,1.2602e-27,8.3681e-08,0.0837,True
267,3.7865e-13,5.9809e-28,1.7632e-07,0.1763,True
268,3.9670e-13,6.5648e-28,1.6064e-07,0.1606,True
269,2.1367e-14,1.9045e-30,5.5373e-05,55.3728,True
270,1.2190e-14,6.1981e-31,1.7014e-04,170.1436,False
271,9.8583e-13,4.0541e-27,2.6013e-08,0.026,True
272,9.9217e-13,4.1064e-27,2.5681e-08,0.0257,True
273,1.6117e-12,1.0835e-26,9.7329e-09,0.0097,True
274,2.3881e-12,2.3789e-26,4.4329e-09,0.0044,True
275,7.7883e-14,2.5303e-29,4.1678e-06,4.1678,True
276,7.1630e-14,2.1403e-29,4.9272e-06,4.9272,True
277,8.9716e-13,3.3576e-27,3.1409e-08,0.0314,True
278,2.5363e-13,2.6834e-28,3.9300e-07,0.393,True
279,3.9496e-13,6.5072e-28,1.6206e-07,0.1621,True
280,8.7824e-13,3.2175e-27,3.2777e-08,0.0328,True
281,1.9593e-12,1.6014e-26,6.5854e-09,0.0066,True
282,1.7792e-14,1.3205e-30,7.9859e-05,79.8588,True
283,2.4506e-14,2.5051e-30,4.2097e-05,42.0969,True
284,2.2266e-15,2.0680e-32,5.0994e-03,5099.3833,False
285,1.3773e-13,7.9135e-29,1.3326e-06,1.3326,True
286,1.3582e-15,7.6946e-33,1.3705e-02,13705.3972,False
287,5.2751e-14,1.1608e-29,9.0850e-06,9.085,True
288,1.0168e-13,4.3126e-29,2.4453e-06,2.4453,True
289,1.1479e-14,5.4967e-31,1.9186e-04,191.856,False
290,1.5328e-13,9.8002e-29,1.0761e-06,1.0761,True
291,1.2966e-15,7.0133e-33,1.5037e-02,15036.6605,False
292,1.3745e-15,7.8811e-33,1.3381e-02,13381.0672,False
293,1.1035e-12,5.0797e-27,2.0761e-08,0.0208,True
294,2.1495e-14,1.9273e-30,5.4717e-05,54.7169,True
295,2.9512e-15,3.6331e-32,2.9027e-03,2902.7148,False
296,8.5460e-14,3.0466e-29,3.4615e-06,3.4615,True
297,7.0499e-13,2.0733e-27,5.0866e-08,0.0509,True
298,6.2851e-15,1.6478e-31,6.3997e-04,639.9697,False
299,2.0140e-13,1.6920e-28,6.2328e-07,0.6233,True
300,2.0687e-15,1.7852e-32,5.9074e-03,5907.3811,False
301,1.5530e-15,1.0061e-32,1.0482e-02,10482.1927,False
302,9.2356e-14,3.5581e-29,2.9639e-06,2.9639,True
303,9.9952e-14,4.1675e-29,2.5305e-06,2.5305,True
304,2.2795e-13,2.1675e-28,4.8654e-07,0.4865,True
305,4.8505e-13,9.8144e-28,1.0745e-07,0.1075,True
306,4.0705e-12,6.9116e-26,1.5258e-09,0.0015,True
307,8.1242e-14,2.7532e-29,3.8303e-06,3.8303,True
308,1.5653e-14,1.0221e-30,1.0318e-04,103.1758,False
309,8.7372e-13,3.1844e-27,3.3117e-08,0.0331,True
310,1.0042e-14,4.2062e-31,2.5072e-04,250.7204,False
311,4.2048e-14,7.3751e-30,1.4299e-05,14.299,True
312,1.9508e-15,1.5875e-32,6.6432e-03,6643.1615,False
313,1.2410e-15,6.4243e-33,1.6415e-02,16415.2361,False
314,3.6375e-12,5.5195e-26,1.9106e-09,0.0019,True
315,1.2367e-12,6.3799e-27,1.6529e-08,0.0165,True
316,3.7531e-13,5.8757e-28,1.7948e-07,0.1795,True
317,3.2562e-14,4.4228e-30,2.3844e-05,23.8441,True
318,4.3753e-15,7.9856e-32,1.3206e-03,1320.5943,False
319,3.7901e-15,5.9924e-32,1.7599e-03,1759.8618,False
320,8.4264e-15,2.9619e-31,3.5605e-04,356.0479,False
321,1.0754e-13,4.8243e-29,2.1860e-06,2.186,True
322,4.3981e-13,8.0691e-28,1.3069e-07,0.1307,True
323,2.7673e-13,3.1944e-28,3.3013e-07,0.3301,True
324,1.0851e-14,4.9116e-31,2.1471e-04,214.712,False
325,3.4042e-12,4.8342e-26,2.1815e-09,0.0022,True
326,5.3636e-13,1.2001e-27,8.7877e-08,0.0879,True
327,1.1234e-13,5.2646e-29,2.0031e-06,2.0031,True
328,1.8312e-13,1.3988e-28,7.5391e-07,0.7539,True
329,3.5652e-14,5.3023e-30,1.9889e-05,19.8891,True
330,8.2480e-15,2.8378e-31,3.7161e-04,371.6134,False
331,2.0736e-14,1.7937e-30,5.8793e-05,58.793,True
332,6.3570e-13,1.6857e-27,6.2559e-08,0.0626,True
333,1.1304e-15,5.3305e-33,1.9784e-02,19783.7332,False
334,2.6875e-15,3.0129e-32,3.5002e-03,3500.1929,False
335,1.4797e-15,9.1329e-33,1.1547e-02,11546.9059,False
336,1.4147e-15,8.3482e-33,1.2632e-02,12632.2635,False
337,1.4599e-12,8.8906e-27,1.1862e-08,0.0119,True
338,4.0069e-13,6.6974e-28,1.5746e-07,0.1575,True
339,5.6749e-14,1.3434e-29,7.8502e-06,7.8502,True
340,2.3008e-15,2.2083e-32,4.7755e-03,4775.5034,False
341,6.5837e-14,1.8081e-29,5.8324e-06,5.8324,True
342,5.6410e-14,1.3274e-29,7.9446e-06,7.9446,True
343,4.3719e-15,7.9730e-32,1.3227e-03,1322.6757,False
344,4.0254e-14,6.7592e-30,1.5602e-05,15.6021,True
345,2.9789e-14,3.7017e-30,2.8489e-05,28.4889,True
346,1.8968e-13,1.5007e-28,7.0270e-07,0.7027,True
347,2.2346e-13,2.0829e-28,5.0630e-07,0.5063,True
348,1.4709e-15,9.0249e-33,1.1685e-02,11685.1439,False
349,2.4304e-14,2.4640e-30,4.2799e-05,42.7985,True
350,2.0656e-13,1.7798e-28,5.9254e-07,0.5925,True
351,7.2625e-14,2.2002e-29,4.7931e-06,4.7931,True
352,1.4728e-12,9.0479e-27,1.1655e-08,0.0117,True
353,2.7320e-13,3.1136e-28,3.3870e-07,0.3387,True
354,4.0058e-15,6.6937e-32,1.5755e-03,1575.4742,False
355,1.8240e-15,1.3879e-32,7.5985e-03,7598.4857,False
356,2.3784e-13,2.3597e-28,4.4690e-07,0.4469,True
357,1.2533e-15,6.5526e-33,1.6094e-02,16093.9011,False
358,1.4681e-13,8.9912e-29,1.1729e-06,1.1729,True
359,3.0053e-12,3.7675e-26,2.7991e-09,0.0028,True
360,1.3448e-13,7.5441e-29,1.3979e-06,1.3979,True
361,2.7279e-14,3.1042e-30,3.3973e-05,33.9729,True
362,2.3961e-13,2.3949e-28,4.4033e-07,0.4403,True
363,4.9552e-14,1.0243e-29,1.0296e-05,10.2959,True
364,1.0428e-13,4.5366e-29,2.3246e-06,2.3246,True
365,3.0370e-12,3.8476e-26,2.7409e-09,0.0027,True
