Temperature_K,Dephasing_per_ns,Coherence_ns,Bio_relevant
292.11,0.6337,1.4748,False
295.26,0.6337,1.4727,False
298.42,0.6337,1.4705,False
301.58,0.6337,1.4684,False
304.74,0.6337,1.4663,False
307.89,0.6337,1.4641,False
311.05,0.6337,1.4619,False
314.21,0.6337,1.4597,False
317.37,0.6337,1.4575,False
320.53,0.6337,1.4553,False
323.68,0.6337,1.4531,False
326.84,0.6337,1.4508,False
330.0,0.6337,1.4486,False
270.0,0.6753,1.4021,False
273.16,0.6753,1.4004,False
276.32,0.6753,1.3986,False
279.47,0.6753,1.3968,False
282.63,0.6753,1.395,False
285.79,0.6753,1.3932,False
288.95,0.6753,1.3914,False
292.11,0.6753,1.3896,False
295.26,0.6753,1.3877,False
298.42,0.6753,1.3858,False
301.58,0.6753,1.3839,False
304.74,0.6753,1.382,False
307.89,0.6753,1.3801,False
311.05,0.6753,1.3782,False
314.21,0.6753,1.3762,False
317.37,0.6753,1.3743,False
320.53,0.6753,1.3723,False
323.68,0.6753,1.3703,False
326.84,0.6753,1.3683,False
330.0,0.6753,1.3663,False
270.0,0.7168,1.3249,False
273.16,0.7168,1.3233,False
276.32,0.7168,1.3218,False
279.47,0.7168,1.3202,False
282.63,0.7168,1.3186,False
285.79,0.7168,1.3169,False
288.95,0.7168,1.3153,False
292.11,0.7168,1.3137,False
295.26,0.7168,1.312,False
298.42,0.7168,1.3103,False
301.58,0.7168,1.3086,False
304.74,0.7168,1.3069,False
307.89,0.7168,1.3052,False
311.05,0.7168,1.3035,False
314.21,0.7168,1.3017,False
317.37,0.7168,1.3,False
320.53,0.7168,1.2982,False
323.68,0.7168,1.2964,False
326.84,0.7168,1.2946,False
330.0,0.7168,1.2928,False
270.0,0.7584,1.2557,False
273.16,0.7584,1.2543,False
276.32,0.7584,1.2529,False
279.47,0.7584,1.2515,False
282.63,0.7584,1.25,False
285.79,0.7584,1.2486,False
288.95,0.7584,1.2471,False
292.11,0.7584,1.2456,False
295.26,0.7584,1.2441,False
298.42,0.7584,1.2426,False
301.58,0.7584,1.2411,False
304.74,0.7584,1.2396,False
307.89,0.7584,1.238,False
311.05,0.7584,1.2365,False
314.21,0.7584,1.2349,False
317.37,0.7584,1.2333,False
320.53,0.7584,1.2317,False
323.68,0.7584,1.2301,False
326.84,0.7584,1.2285,False
330.0,0.7584,1.2269,False
270.0,0.8,1.1934,False
273.16,0.8,1.1921,False
276.32,0.8,1.1909,False
279.47,0.8,1.1896,False
282.63,0.8,1.1883,False
285.79,0.8,1.187,False
288.95,0.8,1.1856,False
292.11,0.8,1.1843,False
295.26,0.8,1.1829,False
298.42,0.8,1.1816,False
301.58,0.8,1.1802,False
304.74,0.8,1.1788,False
307.89,0.8,1.1774,False
311.05,0.8,1.176,False
314.21,0.8,1.1746,False
317.37,0.8,1.1732,False
320.53,0.8,1.1717,False
323.68,0.8,1.1703,False
326.84,0.8,1.1688,False
330.0,0.8,1.1673,False
